time,phase,posX,posY,posZ,rotX,rotY,rotZ
20.42908,0,-1.003975,1.498842,-5.703399,-4.169556,-78.41241,2.152988
20.44458,0,-1.000238,1.498744,-5.705581,-4.018372,-78.81497,2.254148
20.46002,0,-0.992861,1.498146,-5.709938,-3.844757,-79.57385,2.433759
20.47614,0,-0.9890692,1.497923,-5.712441,-3.789764,-79.83368,2.556515
20.49115,0,-0.9851488,1.497678,-5.715017,-3.79184,-80.1214,2.607965
20.50708,0,-0.9772319,1.497655,-5.720199,-3.602264,-80.71124,2.605771
20.52283,0,-0.9730086,1.497768,-5.723005,-3.44809,-80.85382,2.483391
20.53833,0,-0.9646393,1.49777,-5.728468,-3.169525,-81.19601,2.408218
20.55408,0,-0.9603492,1.497906,-5.731314,-2.977997,-81.28073,2.513058
20.56995,0,-0.9562702,1.498511,-5.73413,-2.905701,-81.40741,2.67758
20.58551,0,-0.9480391,1.500139,-5.739439,-3.015778,-81.64069,2.93074
20.60156,0,-0.9442209,1.501303,-5.74195,-3.454437,-81.65756,3.063313
20.61707,0,-0.9363337,1.502929,-5.747522,-4.043152,-81.72348,3.254323
20.63239,0,-0.9324918,1.503131,-5.750527,-4.393982,-81.70221,3.383813
20.6488,0,-0.9286126,1.503439,-5.753456,-4.54483,-81.75757,3.496605
20.66425,0,-0.9211217,1.503987,-5.759223,-4.781311,-81.8624,3.710665
20.68085,0,-0.9174639,1.504014,-5.76225,-4.747467,-81.92291,3.739894
20.69568,0,-0.9102823,1.503776,-5.768281,-4.782837,-82.03897,3.840543
20.71173,0,-0.9069374,1.503135,-5.771501,-4.745422,-82.10953,3.882134
20.72742,0,-0.9003395,1.502202,-5.77774,-4.748108,-82.31665,4.041762
20.74341,0,-0.8972211,1.501449,-5.780931,-4.743317,-82.47324,4.116412
20.75964,0,-0.8940817,1.500602,-5.784097,-4.714996,-82.62912,4.086473
20.77557,0,-0.8880123,1.499266,-5.790535,-4.598236,-82.90451,4.065302
20.7912,0,-0.8849256,1.498955,-5.793794,-4.438232,-83.10751,4.026483
20.80743,0,-0.8789396,1.497959,-5.800256,-4.282837,-83.48108,3.977301
20.82349,0,-0.8758086,1.497824,-5.803352,-4.105774,-83.72375,3.910068
20.8396,0,-0.8697139,1.4975,-5.809273,-3.888336,-84.104,3.738939
20.85657,0,-0.8666742,1.497025,-5.811903,-3.884521,-84.33276,3.675043
20.87146,0,-0.8604295,1.496041,-5.817196,-3.853394,-84.84534,3.60329
20.88806,0,-0.8571001,1.495572,-5.81957,-3.890778,-85.23294,3.570859
20.90417,0,-0.8506728,1.495407,-5.824424,-4.018646,-85.98938,3.466387
20.92163,0,-0.8475298,1.495422,-5.826767,-4.162109,-86.53235,3.407906
20.93744,0,-0.8408725,1.495568,-5.83126,-4.308563,-87.58685,3.281943
20.95459,0,-0.8374939,1.495757,-5.833171,-4.379211,-88.28754,3.173644
20.97064,0,-0.8339522,1.496106,-5.835046,-4.342468,-88.89517,3.050589
20.98694,0,-0.8265058,1.496403,-5.838528,-4.289032,-90.09079,2.91298
21.00269,0,-0.8224877,1.496413,-5.840096,-4.113983,-90.81982,2.870857
