InteractionNumber,ElapsedTime,SplitTime,missCount
-0.3975784,-0.05188775,0.02468913,17.53689,260.6219,3.925755
-0.4094211,-0.04708406,0.02866938,17.8029,264.3256,1.888645
-0.4009306,-0.04507361,0.05073113,18.68356,278.9711,1.367449
-0.3616431,-0.04718148,0.09073807,19.12051,306.3038,3.550719
-0.2904332,-0.05324303,0.1258887,20.42125,337.0601,5.170031
-0.2114095,-0.06118903,0.1405699,22.60995,4.849277,5.521145
-0.1532776,-0.06452045,0.1403761,26.20243,22.51685,6.67216
-0.09329031,-0.06829607,0.1321854,27.64327,40.0581,4.034331
-0.06629729,-0.06797414,0.1267322,27.36117,47.90385,3.905264
-0.04684515,-0.06335967,0.126733,25.23719,51.2107,2.611366
-0.0342647,-0.05876813,0.1266409,22.61196,52.17913,3.215453
-0.02746203,-0.05007159,0.1252362,19.94651,52.05315,3.069441
-0.03117229,-0.03765768,0.1209223,15.66851,50.97696,2.886995
-0.04053042,-0.02999914,0.1164239,12.36859,49.41033,3.110529
-0.04943337,-0.01108545,0.1088204,3.366039,48.36717,2.150919
-0.05217689,0.005660259,0.09922799,353.0992,52.5767,1.806682
-0.04859707,0.0173744,0.06506658,344.0587,74.03236,357.4171
-0.05182657,0.01788918,0.03987471,343.1286,91.4061,354.911
-0.06329513,0.02188943,0.01920518,339.8999,107.1302,350.7447
-0.07691126,0.02602805,0.01760307,335.6957,109.7494,349.6377
-0.09040061,0.03501354,0.03454109,328.0581,99.97535,349.8027
-0.1113485,0.04026705,0.07081184,321.5849,72.13086,357.2545
-0.1448799,0.03998029,0.1021453,321.9348,35.33666,8.465279
-0.1792499,0.0396706,0.1082745,323.9799,5.786156,15.45584
-0.2032344,0.03518716,0.09364988,325.0495,340.2433,18.71534
-0.2152191,0.0225875,0.08846009,334.6477,325.4395,17.08686
-0.2212375,0.003056681,0.08985451,349.7486,316.8074,11.63453
-0.2254551,-0.01014482,0.09327702,358.8687,312.1512,7.953456
-0.2337019,-0.01522702,0.10036,2.27687,311.4933,5.561711
-0.2433984,-0.01177003,0.1060389,359.7129,313.9839,5.95036
-0.2566681,-0.006885324,0.1141276,358.3843,317.2577,3.83854
-0.2814329,-0.001500813,0.1268963,356.3744,322.532,1.810114
-0.3456109,-0.001853115,0.1568811,354.3093,328.2277,359.3167
-0.4303211,-0.02606296,0.2000865,353.8875,331.3586,1.7521
-0.519917,-0.07352886,0.2497967,356.3819,329.8337,4.372222
-0.5719191,-0.1082822,0.2862162,0.7048632,330.5869,5.275043
-0.6012362,-0.1137168,0.3002371,6.347292,330.0337,3.564446
-0.6148105,-0.1022774,0.3020739,11.97101,330.058,2.860299
-0.6101839,-0.1100469,0.2975369,18.29519,338.304,1.139735
-0.5858754,-0.1278956,0.2973658,22.93868,352.3616,4.58337
-0.555287,-0.1274535,0.2985086,27.6981,8.327867,4.454743
-0.4932301,-0.1239897,0.2726116,33.32354,32.49964,12.24642
-0.432671,-0.1106403,0.244169,30.37755,49.52562,15.28151
-0.3728865,-0.09888761,0.2123091,27.98885,59.10849,15.28007
-0.3098789,-0.0895782,0.183723,26.66,65.12699,13.25265
-0.2412552,-0.07065863,0.1649352,19.60825,66.58135,10.52911
-0.1663648,-0.05883108,0.1479384,14.84618,66.50524,7.376037
-0.084654,-0.04947907,0.1355051,10.4362,62.12076,5.42479
0.007485153,-0.03468947,0.1248412,7.764652,58.5356,3.493644
0.09954638,-0.02017369,0.1178913,6.329994,56.03086,3.771616
0.1861521,-0.01562963,0.1199275,4.189266,53.29354,2.52176
0.2598052,-0.02010682,0.1363145,2.440232,50.44124,0.6465431
0.3067887,-0.0302133,0.161933,2.169735,46.68669,359.412
0.3329863,-0.0477912,0.1876755,2.065314,43.63385,359.8347
0.3469051,-0.06588517,0.2177579,2.502038,40.10975,359.4628
0.3456716,-0.08022936,0.2388329,3.291453,37.84402,358.2897
0.3387582,-0.08120834,0.2518801,5.440862,37.12541,0.1133382
0.3366379,-0.06353251,0.257387,5.182081,35.62533,2.042777
0.3379765,-0.04883148,0.2529841,8.039402,34.9123,3.001151
0.3457199,-0.03976974,0.2532462,11.1662,35.83842,4.717972
0.3523647,-0.03978511,0.2606433,11.09826,36.60167,4.51837
0.3789122,-0.05006125,0.3008166,10.72,38.60571,3.76413
0.3988323,-0.06801162,0.3456698,10.58909,40.32107,2.486381
0.404169,-0.0617969,0.37994,10.7642,37.16597,2.984194
0.3878976,-0.04927809,0.3868641,13.10607,27.81719,2.315939
