InteractionNumber,ElapsedTime,SplitTime,missCount,,,,,,,
15.35538,0.1335645,-0.02729423,-0.07118677,10.234,6.384104,2.740624,,10.234,6.384104,2.740624
15.47776,0.1043624,-0.03602066,-0.05317114,12.75565,341.0315,359.3337,,12.75565,-18.9685,-0.6663
15.60338,0.07938496,-0.03803706,-0.05118759,11.83666,319.2655,355.8151,,11.83666,-40.7345,-4.1849
15.70841,0.06407838,-0.04229563,-0.05600862,12.23762,305.6136,351.6983,,12.23762,-54.3864,-8.3017
15.8166,0.0568997,-0.04782538,-0.05008704,15.07436,303.346,350.1318,,15.07436,-56.654,-9.8682
15.91711,0.05786899,-0.04991421,-0.03390485,16.82022,313.3567,352.414,,16.82022,-46.6433,-7.586
16.04355,0.05700471,-0.04917677,-0.02036146,17.78971,324.8495,354.9271,,17.78971,-35.1505,-5.0729
16.16806,0.03553705,-0.04874149,-0.01113842,17.06288,325.4686,354.8634,,17.06288,-34.5314,-5.1366
16.26818,0.000389293,-0.05059215,0.000317544,16.47947,321.1454,355.9235,,16.47947,-38.8546,-4.0765
16.40208,-0.03476213,-0.0455584,0.01230639,17.71046,318.0396,354.9839,,17.71046,-41.9604,-5.0161
16.50684,-0.06062927,-0.0323678,0.01893483,15.71609,319.9806,356.1786,,15.71609,-40.0194,-3.8214
16.6195,-0.08044648,-0.03094011,0.01705527,15.46921,322.1354,356.7136,,15.46921,-37.8646,-3.2864
16.72172,-0.0889563,-0.03037151,0.007840848,15.55276,324.9989,358.6137,,15.55276,-35.0011,-1.3863
16.83402,-0.09253473,-0.03211941,-0.007039305,15.98364,327.5566,0.8727517,,15.98364,-32.4434,0.8727517
16.9411,-0.08621966,-0.03521885,-0.02264101,16.95944,332.9247,0.5170699,,16.95944,-27.0753,0.5170699
17.04616,-0.07398543,-0.03848148,-0.03409691,16.02152,341.1933,0.8679127,,16.02152,-18.8067,0.8679127
17.14968,-0.05935387,-0.04410595,-0.03835438,15.73792,349.9831,0.7518702,,15.73792,-10.0169,0.7518702
17.26818,-0.04415154,-0.04699457,-0.03995178,18.61507,359.6096,1.872802,,18.61507,-0.3904,1.872802
17.37077,-0.04084601,-0.05395439,-0.04053671,17.84125,3.723468,1.294529,,17.84125,3.723468,1.294529
17.47351,-0.04668365,-0.05455187,-0.04081492,20.19456,1.174824,2.542643,,20.19456,1.174824,2.542643
17.57361,-0.07159775,-0.04958056,-0.03832467,18.60897,352.3851,2.403843,,18.60897,-7.6149,2.403843
17.69732,-0.1228903,-0.05413062,-0.0254564,18.77351,343.417,2.196636,,18.77351,-16.583,2.196636
17.80973,-0.1804349,-0.05806342,-0.002007227,18.26067,342.0451,2.669293,,18.26067,-17.9549,2.669293
17.91252,-0.2398542,-0.05817298,0.03006599,17.3563,339.4889,2.652706,,17.3563,-20.5111,2.652706
18.04179,-0.3145612,-0.06243619,0.08138616,16.40693,335.4428,2.970325,,16.40693,-24.5572,2.970325
18.14998,-0.3721212,-0.08714566,0.1258352,18.31277,330.5831,4.765146,,18.31277,-29.4169,4.765146
18.27209,-0.4039027,-0.08805653,0.1501065,20.19669,330.0149,0.8738216,,20.19669,-29.9851,0.8738216
18.3904,-0.4087001,-0.08424331,0.1443694,22.43105,334.9818,3.373965,,22.43105,-25.0182,3.373965
18.50022,-0.4142787,-0.09200401,0.1389181,25.21962,338.2774,1.891708,,25.21962,-21.7226,1.891708
18.62211,-0.4385093,-0.0994467,0.1632529,24.27237,340.769,4.709465,,24.27237,-19.231,4.709465
18.73569,-0.4873116,-0.1409047,0.2246641,22.84285,339.6216,4.366128,,22.84285,-20.3784,4.366128
18.84752,-0.535339,-0.2008786,0.2761451,25.4465,337.3326,3.741726,,25.4465,-22.6674,3.741726
18.96483,-0.5375525,-0.2057869,0.2690507,30.54112,341.2574,6.480498,,30.54112,-18.7426,6.480498
19.07341,-0.5005444,-0.1626061,0.2280509,26.71302,349.3304,9.052207,,26.71302,-10.6696,9.052207
19.20042,-0.4284667,-0.1126024,0.1512694,19.46068,0.7036054,10.37536,,19.46068,0.7036054,10.37536
19.32634,-0.3447247,-0.06841274,0.06841304,10.9047,17.99171,11.5155,,10.9047,17.99171,11.5155
19.45118,-0.2691729,-0.02719999,0.006536135,3.45224,32.92595,10.14856,,3.45224,32.92595,10.14856
19.55351,-0.224593,-0.01814641,-0.02603435,1.622149,37.44527,8.255553,,1.622149,37.44527,8.255553
19.66875,-0.1890165,-0.02164262,-0.0431607,2.743243,38.35656,8.049077,,2.743243,38.35656,8.049077
19.78069,-0.1597153,-0.02500169,-0.04875007,4.669012,39.27346,8.229599,,4.669012,39.27346,8.229599
19.89063,-0.1375513,-0.02353076,-0.0491953,5.600741,39.77106,9.238573,,5.600741,39.77106,9.238573
20.01276,-0.1292537,-0.02651432,-0.05020396,8.444879,37.95145,10.19191,,8.444879,37.95145,10.19191
20.12454,-0.1316716,-0.03426,-0.04465466,11.99619,34.21711,10.30791,,11.99619,34.21711,10.30791
20.22771,-0.1384868,-0.04206906,-0.03422237,14.4799,29.74891,10.93962,,14.4799,29.74891,10.93962
20.32816,-0.1481264,-0.04978717,-0.01825344,16.02939,24.16403,12.03611,,16.02939,24.16403,12.03611
20.46017,-0.1773249,-0.06800658,0.01303028,16.35222,17.67286,12.99422,,16.35222,17.67286,12.99422
20.56586,-0.2301614,-0.07732501,0.06962727,16.69538,16.60417,13.58476,,16.69538,16.60417,13.58476
20.668,-0.2935658,-0.1015248,0.1258984,16.56801,15.21391,12.63773,,16.56801,15.21391,12.63773
20.77992,-0.3654365,-0.1106907,0.1948511,16.48485,14.18779,13.13267,,16.48485,14.18779,13.13267
20.88063,-0.4143313,-0.1101378,0.24151,15.77436,10.82004,11.25184,,15.77436,10.82004,11.25184
20.99045,-0.4433512,-0.1103564,0.2677844,18.17139,8.997256,9.640349,,18.17139,8.997256,9.640349
21.09504,-0.4485347,-0.1044476,0.2768654,17.4181,9.387363,10.39786,,17.4181,9.387363,10.39786
