InteractionNumber,ElapsedTime,SplitTime,missCount,,,,,,,
18.88619,0.2518468,-0.009486363,1.207307,2.874182,312.8095,7.375986,,2.874182,-47.1905,7.375986
18.9975,0.2657,-0.006325054,1.217136,1.024774,331.5332,8.389792,,1.024774,-28.4668,8.389792
19.12054,0.263665,-0.007608391,1.205383,1.119099,339.2066,7.606159,,1.119099,-20.7934,7.606159
19.224,0.2583916,-0.008939533,1.184265,2.025736,342.3651,7.995084,,2.025736,-17.6349,7.995084
19.33853,0.2583377,-0.01178128,1.155146,3.390181,345.2716,7.455206,,3.390181,-14.7284,7.455206
19.44827,0.2658151,-0.01775277,1.125754,5.477385,344.6317,7.873343,,5.477385,-15.3683,7.873343
19.56168,0.2741627,-0.02250765,1.100265,7.97735,339.467,6.925622,,7.97735,-20.533,6.925622
19.68528,0.2830758,-0.03112963,1.07791,8.512367,333.2064,6.840916,,8.512367,-26.7936,6.840916
19.7855,0.2940845,-0.03491722,1.069192,8.041431,330.2468,6.689028,,8.041431,-29.7532,6.689028
19.91097,0.3198406,-0.03355415,1.063139,8.278062,329.4573,5.761925,,8.278062,-30.5427,5.761925
20.02638,0.3495635,-0.03362592,1.059342,7.481116,331.4909,3.938218,,7.481116,-28.5091,3.938218
20.13518,0.3868036,-0.03707005,1.052627,9.373748,333.6081,1.313491,,9.373748,-26.3919,1.313491
20.23908,0.4166731,-0.0413472,1.049897,10.92284,334.8655,357.7372,,10.92284,-25.1345,-2.2628
20.35368,0.4462608,-0.04070624,1.047001,11.03658,337.0879,355.9905,,11.03658,-22.9121,-4.0095
20.46663,0.4648267,-0.03689251,1.034301,9.775949,339.929,355.7267,,9.775949,-20.071,-4.2733
20.57506,0.468863,-0.03566637,1.017919,9.152977,339.4487,354.9057,,9.152977,-20.5513,-5.0943
20.67588,0.465739,-0.036467,0.9992622,8.190653,339.8177,354.5364,,8.190653,-20.1823,-5.4636
20.77819,0.4580382,-0.04079004,0.9729351,7.58918,339.1819,353.7422,,7.58918,-20.8181,-6.2578
