InteractionNumber,touched
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
8.498669,0.2044645,-0.02114912,0.01580223,343.1883,30.50081,5.007175,-0.2044645,1.478851,9.834198,-0.1410652,1.052016,9.615426,-0.4876763,1.68152,9.757338
8.605789,0.2084586,-0.01641783,0.02072692,343.0916,30.62271,5.077634,-0.2084586,1.483582,9.829273,-0.142144,1.061378,9.607791,-0.4917327,1.704426,9.750111
8.710884,0.2171447,-0.01118241,0.02791579,342.7619,30.06023,6.026319,-0.2171447,1.488818,9.822084,-0.1426272,1.070937,9.595503,-0.5116345,1.741248,9.737547
8.81572,0.2315513,-0.0007483476,0.03717925,342.8735,29.85446,7.226212,-0.2315513,1.499252,9.81282,-0.1443866,1.078827,9.582092,-0.5704927,1.792209,9.720442
8.922413,0.2463377,0.003503951,0.04454783,343.0287,29.36746,6.864919,-0.2463377,1.503504,9.805452,-0.1500194,1.090764,9.577258,-0.6290545,1.787531,9.663486
9.034645,0.2534823,-0.004121637,0.05263789,344.4911,24.67826,6.127515,-0.2534823,1.495878,9.797362,-0.1514995,1.096549,9.572026,-0.611329,1.739337,9.62093
9.135155,0.2473893,-0.01204797,0.06159974,345.6003,14.2663,5.631249,-0.2473893,1.487952,9.788401,-0.1499825,1.095401,9.572936,-0.5680813,1.667712,9.574949
9.235691,0.2333491,-0.01594608,0.06793658,347.6223,2.452607,5.620023,-0.2333491,1.484054,9.782063,-0.1396213,1.094599,9.585054,-0.5081504,1.57448,9.540794
9.347973,0.2128565,-0.01745472,0.06940033,348.8439,350.3401,5.342017,-0.2128565,1.482545,9.7806,-0.1131541,1.091225,9.599882,-0.4280366,1.450962,9.516737
9.448238,0.1950396,-0.01758686,0.06788502,348.4099,342.2978,6.091769,-0.1950396,1.482413,9.782115,-0.07559671,1.097129,9.610403,-0.3757275,1.3707,9.518051
9.549667,0.1757527,-0.0183961,0.06415738,348.6342,334.024,5.379011,-0.1757527,1.481604,9.785843,-0.03641103,1.106565,9.624351,-0.3332545,1.300619,9.515907
9.661129,0.1560304,-0.01924642,0.05937845,349.0164,326.4611,4.296286,-0.1560304,1.480754,9.790622,0.003398808,1.114594,9.642,-0.2911184,1.232612,9.5102
9.762344,0.1415357,-0.0204931,0.0562562,349.5565,322.3229,3.351773,-0.1415357,1.479507,9.793744,0.03192544,1.116446,9.655746,-0.2618179,1.192827,9.512139
9.868343,0.1318485,-0.02521467,0.05790601,352.5417,323.0317,1.415957,-0.1318485,1.474785,9.792094,0.05065642,1.113687,9.664936,-0.2430603,1.169375,9.51514
9.972752,0.12882,-0.03269004,0.062805,357.9719,330.0141,359.5305,-0.12882,1.46731,9.787195,0.05812535,1.109966,9.670624,-0.2282198,1.148253,9.52584
