,time,posX,posY,posZ,gazeX,gazeY,gazeZ
241,4.83445,0.03634767,1.700539,1.5,0.1130041,1.622742,1.5
242,4.854454,0.03385444,1.700539,1.5,0.1041379,1.618956,1.5
243,4.874451,0.03262088,1.700539,1.5,0.09951279,1.617058,1.5
244,4.894455,0.03009459,1.700539,1.5,0.09070179,1.614784,1.5
245,4.914452,0.02754818,1.700539,1.5,0.08088867,1.613325,1.5
246,4.934456,0.02628326,1.700539,1.5,0.07554781,1.612788,1.5
247,4.954453,0.0238074,1.700539,1.5,0.06565262,1.612729,1.5
248,4.974457,0.02259996,1.700539,1.5,0.06085935,1.613112,1.5
249,4.994453,0.02005472,1.700539,1.5,0.05132903,1.613598,1.5
250,5.01445,0.01753064,1.700539,1.5,0.04150759,1.613689,1.5
251,5.034454,0.01626464,1.700539,1.5,0.03645464,1.614501,1.5
252,5.054451,0.0137427,1.700539,1.5,0.02826541,1.617707,1.5
253,5.074455,0.01256846,1.700539,1.5,0.02377153,1.619071,1.5
254,5.094452,0.01003089,1.700539,1.5,0.01523958,1.62128,1.5
255,5.114456,0.007502487,1.700539,1.5,0.006968211,1.624911,1.5
256,5.134453,0.006314017,1.700539,1.5,0.003549038,1.626816,1.5
257,5.154449,0.003764577,1.700539,1.5,-0.002903461,1.629375,1.5
258,5.174454,0.002489997,1.700539,1.5,-0.005983093,1.630478,1.5
259,5.19445,-1.433422E-06,1.700539,1.5,-0.01223469,1.63463,1.5
260,5.214455,-0.002467433,1.700539,1.5,-0.01799026,1.638507,1.5
261,5.234451,-0.003767434,1.700539,1.5,-0.02075578,1.639435,1.5
262,5.254456,-0.006261594,1.700539,1.5,-0.0252107,1.640547,1.5
263,5.274452,-0.007531893,1.700539,1.5,-0.02804815,1.6413,1.5
264,5.294456,-0.01014555,1.700539,1.5,-0.03388428,1.643572,1.5
265,5.314453,-0.01253952,1.700539,1.5,-0.0392549,1.64472,1.5
266,5.33445,-0.01375358,1.700539,1.5,-0.04206402,1.644971,1.5
267,5.354454,-0.01623366,1.700539,1.5,-0.04790441,1.645877,1.5
268,5.374451,-0.01753167,1.700539,1.5,-0.0503023,1.64665,1.5
269,5.394455,-0.02002466,1.700539,1.5,-0.05451587,1.647767,1.5
270,5.414452,-0.02252856,1.700539,1.5,-0.05788226,1.648378,1.5
271,5.434456,-0.0238097,1.700539,1.5,-0.05919009,1.648946,1.5
272,5.454453,-0.02633684,1.700539,1.5,-0.06174544,1.651453,1.5
273,5.474457,-0.02755731,1.700539,1.5,-0.06293894,1.652938,1.5
274,5.494453,-0.03009565,1.700539,1.5,-0.06523402,1.655678,1.5
275,5.51445,-0.03256571,1.700539,1.5,-0.06718425,1.658478,1.5
276,5.534454,-0.03382821,1.700539,1.5,-0.06789932,1.660101,1.5
277,5.554451,-0.0364254,1.700539,1.5,-0.06876463,1.662672,1.5
278,5.574455,-0.03757169,1.700539,1.5,-0.06959487,1.663648,1.5
279,5.594452,-0.04008619,1.700539,1.5,-0.07159457,1.666159,1.5
280,5.614456,-0.04130972,1.700539,1.5,-0.07217029,1.66733,1.5
281,5.634453,-0.03874933,1.700539,1.5,-0.07386819,1.669954,1.5
