time,posX,posY,posZ,gazeX,gazeY,gazeZ
112.36,-0.0458266,-0.04042536,-0.1207027,-17.86487,-0.3620911,2.127284
112.38,-0.0459374,-0.04041541,-0.1207307,-17.87994,-0.4118958,2.135219
112.4,-0.04605503,-0.04038121,-0.1207627,-17.9007,-0.4693298,2.146327
112.42,-0.04645018,-0.04025609,-0.1208436,-17.96249,-0.6696167,2.20813
112.44,-0.04661315,-0.04022506,-0.1208747,-17.98294,-0.7499084,2.244207
112.46,-0.04706091,-0.04017524,-0.1209626,-17.99734,-1.052216,2.507305
112.48,-0.04738316,-0.04013538,-0.1210276,-18.01431,-1.293365,2.738247
112.5,-0.04874775,-0.03987323,-0.1211285,-18.16748,-1.983276,3.127484
112.52,-0.05012055,-0.03967949,-0.1214517,-18.32602,-2.757111,3.36499
112.54,-0.05092676,-0.039635,-0.1215883,-18.36621,-3.181061,3.455513
112.56,-0.05170503,-0.03954882,-0.1218268,-18.42374,-3.726685,3.572925
112.58,-0.05343406,-0.03943863,-0.122223,-18.51901,-4.638733,3.814029
112.6,-0.05534052,-0.03948294,-0.1226628,-18.57166,-5.712463,4.106329
112.62,-0.05743042,-0.03938242,-0.1231819,-18.59732,-6.842468,4.355628
112.64,-0.05848719,-0.03934049,-0.1234325,-18.62854,-7.382996,4.458615
112.66,-0.06058111,-0.03927634,-0.1239375,-18.68207,-8.455933,4.668687
112.68,-0.0615595,-0.0392951,-0.1242112,-18.7103,-9.006348,4.813484
112.7,-0.06256407,-0.03930265,-0.1244376,-18.72537,-9.544922,4.953659
112.72,-0.06532408,-0.03909102,-0.1251358,-18.84888,-11.01645,5.266559
112.74,-0.06615407,-0.03901817,-0.1253709,-18.88892,-11.45187,5.361721
112.76,-0.06769682,-0.03890239,-0.125828,-18.93643,-12.19751,5.551586
112.78,-0.06838238,-0.03888746,-0.1260675,-18.92963,-12.54514,5.664033
112.8,-0.06970698,-0.03890321,-0.1264998,-18.95654,-13.20789,5.827806
112.82,-0.07079417,-0.03887416,-0.1269262,-18.99991,-13.74066,5.946457
112.84,-0.07125214,-0.03884374,-0.1271379,-19.02585,-13.96371,6.016175
112.86,-0.07165104,-0.03880088,-0.1273085,-19.09241,-14.11755,6.1069
112.88,-0.07238261,-0.03874783,-0.1276679,-19.1709,-14.51593,6.288143
112.9,-0.07282108,-0.03859559,-0.1280254,-19.23807,-14.73795,6.460431
112.92,-0.07300476,-0.03848889,-0.1281892,-19.28964,-14.76715,6.514847
112.94,-0.07315575,-0.03832509,-0.1284746,-19.40625,-14.78827,6.618522
112.96,-0.07342487,-0.03806271,-0.1288001,-19.53546,-14.72577,6.656624
112.98,-0.0733709,-0.0379274,-0.1289209,-19.6076,-14.65555,6.649405
