time,phase,posX,posY,posZ,rotX,rotY,rotZ
4.370346,0,-0.1061871,1.466861,2.731495,14.81408,0.1692621,-1.791351
4.384857,0,-0.1065865,1.469023,2.744931,14.90174,0.09076846,-1.931976
4.398926,0,-0.1069012,1.471289,2.758371,14.84267,-0.1123657,-1.772369
4.412766,0,-0.1074478,1.473388,2.771795,14.70726,-0.322052,-1.578247
4.426071,0,-0.1081858,1.475227,2.785184,14.56111,-0.5204163,-1.352081
4.440445,0,-0.1089458,1.476612,2.798623,14.35199,-0.7004089,-1.120911
4.454666,0,-0.1099872,1.477585,2.812004,14.08276,-0.8432007,-0.909729
4.46788,0,-0.1110414,1.478145,2.825542,13.7903,-0.96521,-0.6689453
4.482208,0,-0.1119627,1.478173,2.839236,13.48984,-1.120697,-0.4324341
4.496231,0,-0.1128659,1.477797,2.853123,13.28998,-1.256836,-0.1826782
4.509689,0,-0.1137395,1.477125,2.867041,13.21823,-1.413849,0.06206661
4.524048,0,-0.1146964,1.476168,2.881097,13.2895,-1.565125,0.290181
4.538452,0,-0.1157154,1.475083,2.895308,13.47124,-1.721161,0.4731623
4.552155,0,-0.1168451,1.473653,2.909551,13.73113,-1.880035,0.5803214
4.565598,0,-0.1180731,1.471732,2.923751,14.06573,-2.054016,0.6569124
4.579636,0,-0.1194227,1.469663,2.938002,14.45167,-2.245087,0.6959739
4.594025,0,-0.1209448,1.467809,2.952419,14.86214,-2.442078,0.6872181
