time,phase,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,miss,out
2.454529,0,-0.01409725,1.46999,2.110621,8.997,2.045322,-2.004608,0.03525092,-0.1563828,0.9870673,0,0
2.471512,0,-0.01387499,1.47158,2.12508,9.135873,1.839596,-1.788361,0.03169427,-0.1587763,0.9868057,0,0
2.487732,0,-0.01359499,1.473584,2.153663,9.502095,1.703818,-1.577972,0.0293249,-0.1650837,0.9858435,0,0
2.505127,0,-0.01324549,1.473393,2.167942,9.527349,1.686317,-1.325745,0.02902163,-0.1655184,0.9857796,0,0
2.521286,0,-0.01286997,1.473656,2.196924,9.619991,1.625735,-1.053009,0.02797168,-0.1671128,0.9855409,0,0
2.53891,0,-0.0125815,1.473853,2.211991,9.365272,1.582288,-0.885437,0.02724458,-0.1627279,0.9862947,0,0
2.554214,0,-0.01211001,1.473444,2.241922,8.961647,1.503376,-0.6340027,0.02591558,-0.1557733,0.9874528,0,0
2.571503,0,-0.01195583,1.472461,2.257137,8.602233,1.469099,-0.5360107,0.0253494,-0.1495739,0.9884256,0,0
2.588013,0,-0.01183221,1.471278,2.272242,8.350927,1.427181,-0.5026855,0.02464236,-0.1452357,0.9890901,0,0
2.605438,0,-0.01156872,1.468493,2.302518,8.017788,1.382931,-0.4872131,0.02389844,-0.1394805,0.9899364,0,0
2.620941,0,-0.01152635,1.466591,2.317954,7.87933,1.428563,-0.5916748,0.02469518,-0.1370872,0.9902511,0,0
2.637375,0,-0.01150029,1.463468,2.348932,7.623369,1.444729,-0.5957642,0.02498977,-0.1326607,0.9908465,0,0
2.653488,0,-0.01177929,1.461818,2.364497,7.452934,1.409489,-0.5386353,0.02438993,-0.1297117,0.9912517,0,0
2.67012,0,-0.01233503,1.458002,2.395588,7.078014,1.339759,-0.5131836,0.0232029,-0.1232207,0.992108,0,0
2.686539,0,-0.01279189,1.456287,2.411385,6.801895,1.375973,-0.5700684,0.02384394,-0.1184368,0.9926752,0,0
2.702545,0,-0.01364539,1.452884,2.442816,6.07469,1.574365,-0.8252258,0.02732011,-0.1058248,0.9940094,0,0
2.719315,0,-0.01308931,1.452417,2.458144,5.593636,1.803137,-0.9984741,0.03131566,-0.09747235,0.9947454,0,0
2.735489,0,-0.01346552,1.451741,2.488695,4.861139,2.138095,-1.319122,0.03717395,-0.08474113,0.9957093,0,0
2.75209,0,-0.01419107,1.450752,2.503524,4.361887,2.424556,-1.529236,0.04218133,-0.07605578,0.9962109,0,0
2.768127,0,-0.01543868,1.450047,2.533065,3.583648,2.925475,-1.660767,0.05093719,-0.0625057,0.9967439,0,0
2.784866,0,-0.01557702,1.454029,2.548091,3.556821,3.179065,-1.548401,0.05534987,-0.06203837,0.9965378,0,0
2.801025,0,-0.01596995,1.460054,2.578165,2.284809,3.652321,-1.439545,0.06365122,-0.03986686,0.9971756,0,0
2.817795,0,-0.01585148,1.459997,2.592381,1.380265,3.9224,-1.14444,0.06838548,-0.02408784,0.9973682,0,0
2.833389,0,-0.01543957,1.463893,2.620901,0.599118,4.225136,-0.1708069,0.0736717,-0.01045639,0.9972277,0,0
2.850159,0,-0.01468546,1.468101,2.634754,0.8394717,4.138898,0.4881145,0.07216686,-0.01465102,0.9972849,0,0
2.866638,0,-0.01413909,1.471052,2.648471,1.067713,4.105667,0.8867002,0.07158367,-0.01863402,0.9972605,0,0
2.883041,0,-0.01322225,1.4763,2.676107,1.125266,4.233997,1.481853,0.07381571,-0.01963833,0.9970785,0,0
2.900192,0,-0.01290933,1.478613,2.689833,1.190212,4.31382,1.493096,0.07520302,-0.02077163,0.9969519,0,0
2.916092,0,-0.01202187,1.482637,2.717121,1.168432,4.412539,1.589059,0.07692125,-0.02039156,0.9968286,0,0
2.932541,0,-0.01147023,1.483822,2.730884,1.186267,4.393425,1.419459,0.07658818,-0.02070279,0.9968479,0,0
2.949234,0,-0.01077017,1.486262,2.758295,1.12337,4.362411,1.232685,0.0760503,-0.01960525,0.9969112,0,0
2.965576,0,-0.01048829,1.486233,2.772125,1.059331,4.312335,0.9435665,0.07518056,-0.01848775,0.9969985,0,0
2.981903,0,-0.01006953,1.48557,2.799801,0.9948472,4.29745,0.4693443,0.07492305,-0.01736249,0.9970381,0,0
2.999481,0,-0.009976715,1.484308,2.813864,1.053537,4.312452,0.09106974,0.07518273,-0.01838665,0.9970002,0,0
3.014694,0,-0.009794459,1.481922,2.842318,1.207663,4.305368,-0.4700317,0.07505549,-0.02107614,0.9969566,0,0
3.03183,0,-0.00959307,1.480351,2.856926,1.361552,4.252684,-0.7158203,0.07413425,-0.02376132,0.9969652,0,0
3.047699,0,-0.009032205,1.476491,2.88632,1.582421,4.164826,-1.122711,0.07259823,-0.02761494,0.9969789,0,0
3.06752,0,-0.008541018,1.4739,2.901245,1.773401,4.10755,-1.215881,0.07159457,-0.03094674,0.9969536,0,0
3.081192,0,-0.007832199,1.468834,2.931018,2.122214,3.992917,-1.446655,0.06958541,-0.03703116,0.9968885,0,0
3.097427,0,-0.007218942,1.466365,2.946113,2.329526,3.963356,-1.491425,0.06906135,-0.0406467,0.996784,0,0
3.113785,0,-0.00576143,1.461748,2.976712,2.622755,3.916974,-1.604828,0.0682393,-0.04575972,0.996619,0,0
3.130478,0,-0.004545897,1.459984,2.992419,2.680223,3.887377,-1.608765,0.06772133,-0.04676167,0.9966078,0,0
3.146973,0,-0.002314329,1.456291,3.023302,2.705275,3.830111,-1.66861,0.06672382,-0.0471984,0.9966545,0,0
3.163651,0,-0.0006613135,1.454525,3.038806,2.544877,3.857258,-1.667694,0.06720467,-0.04440187,0.9967507,0,0
3.182022,0,0.002542213,1.452269,3.070005,2.403466,3.85235,-1.525879,0.06712645,-0.0419361,0.9968628,0,0
3.196335,0,0.004574567,1.453298,3.085754,2.231957,3.798069,-1.323303,0.06619002,-0.03894515,0.9970467,0,0
3.212708,0,0.008423388,1.454142,3.117105,1.749965,3.700301,-1.147888,0.06450745,-0.0305379,0.9974499,0,0
3.229309,0,0.01018862,1.454618,3.132112,1.576626,3.687665,-1.145386,0.06429312,-0.02751384,0.9975517,0,0
3.246155,0,0.01429456,1.461652,3.163278,2.17288,3.585803,-0.8123169,0.06249826,-0.03791482,0.9973246,0,0
